Player,Team_x,Age_x,GP,Min,+/-,Age_y,Team_y,GS,MP,PER,WS,WS/48,VORP,Awards
Victor Wembanyama,SAS,20,71,29.7,-2,20,SAS,71,2106,23.1,3.7,0.085,3.8,"ROY-1,DPOY-2"
Brandon Miller,CHA,21,74,32.2,-6.9,21,CHO,68,2383,13,0.8,0.015,-0.3,ROY-3
GG Jackson,MEM,19,48,25.7,-4,,,,,,,,,
Scoot Henderson,POR,20,62,28.5,-8,19,POR,32,1765,9.5,-1.7,-0.045,-1.7,
Keyonte George,UTA,20,75,27,-5,20,UTA,44,2023,10.4,-0.3,-0.008,-1.2,
Cam Whitmore,HOU,19,47,18.7,-0.6,19,HOU,2,880,16.6,1.5,0.082,0.5,
Jaime Jaquez Jr.,MIA,23,75,28.2,1.4,,,,,,,,,
Amen Thompson,HOU,21,62,22.4,0.7,21,HOU,23,1388,18.2,4.3,0.149,1.3,
Brandin Podziemski,GSW,21,74,26.6,3.6,20,GSW,28,1968,13,4.1,0.1,0.9,ROY-5
Ausar Thompson,DET,21,63,25.1,-3.7,21,DET,38,1583,12.8,1.8,0.053,-0.1,
Dereck Lively II,DAL,20,55,23.5,2.6,19,DAL,42,1294,18.1,4.9,0.183,0.8,ROY-6
Gradey Dick,TOR,20,60,21.1,-6.3,20,TOR,17,1268,8.9,0.3,0.01,-1.1,
Tristan Vukcevic,WAS,21,10,15.3,3.2,20,WAS,4,153,13.9,0.1,0.045,-0.1,
Bilal Coulibaly,WAS,19,63,27.2,-6.7,19,WAS,15,1715,8.9,0.4,0.013,-0.9,
Marcus Sasser,DET,23,71,19,-3.5,,,,,,,,,
Trayce Jackson-Davis,GSW,24,68,16.6,0.5,,,,,,,,,
Jordan Hawkins,NOP,22,67,17.3,0.2,21,NOP,10,1160,10.2,1.3,0.053,-0.3,
Brice Sensabaugh,UTA,20,32,18.3,-5.4,20,UTA,11,584,8.6,-0.3,-0.024,-0.5,
Toumani Camara,POR,24,70,24.8,-2.7,,,,,,,,,
Taylor Hendricks,UTA,20,40,21.4,-3.8,20,UTA,23,856,11.8,1.2,0.07,0.1,
Cason Wallace,OKC,20,82,20.6,1.5,20,OKC,13,1692,12,4,0.115,0.9,
Kris Murray,POR,23,62,21.7,-2.6,,,,,,,,,
Nick Smith Jr.,CHA,20,51,14.3,-3.8,19,CHO,0,729,8.1,-0.5,-0.036,-0.7,
Noah Clowney,BKN,19,23,16.1,-2.3,19,BRK,4,370,14.2,0.9,0.111,0.1,
Jalen Wilson,BKN,23,43,15.5,-0.1,,,,,,,,,
Kobe Bufkin,ATL,20,17,11.5,-2.1,20,ATL,0,196,9.1,-0.1,-0.031,-0.1,
Anthony Black,ORL,20,69,16.9,-0.5,20,ORL,33,1164,8.4,1.6,0.067,-0.3,
Julian Strawther,DEN,22,50,10.9,-2.1,21,DEN,0,545,8.2,0.2,0.015,-0.6,
Ben Sheppard,IND,22,57,14.3,1.2,,,,,,,,,
Mouhamed Gueye,ATL,21,6,12.1,-6.8,21,ATL,0,73,15,0.2,0.127,0,
Rayan Rupert,POR,20,39,16.2,-3.2,19,POR,12,633,5.8,-0.1,-0.009,-0.8,
Sidy Cissoko,SAS,20,12,11.7,2.1,19,SAS,0,141,12,0.3,0.11,0,
Jarace Walker,IND,20,33,10.3,0.6,20,IND,0,340,11.8,0.4,0.058,0.2,
Olivier-Maxence Prosper,DAL,21,40,8.4,-2.2,21,DAL,1,336,11.6,0.5,0.076,-0.1,
Emoni Bates,CLE,20,15,8.9,-5.6,20,CLE,0,133,2.6,-0.3,-0.092,-0.2,
Amari Bailey,CHA,20,10,6.5,0.5,19,CHO,0,65,9.7,-0.1,-0.044,-0.1,
Julian Phillips,CHI,20,40,8.1,-0.1,20,CHI,0,323,7,0.2,0.031,-0.3,
Andre Jackson Jr.,MIL,22,57,10,-1.6,22,MIL,8,572,8.5,1,0.081,-0.2,
Colby Jones,SAC,22,30,6.4,0.3,21,SAC,0,192,8.9,0,0.007,-0.1,
Kobe Brown,LAC,24,44,9,-2.1,,,,,,,,,
Isaiah Wong,IND,23,1,4.3,-5,,,,,,,,,
Leonard Miller,MIN,20,17,3.1,0.5,20,MIN,0,52,27,0.3,0.323,0.2,
Jordan Walsh,BOS,20,9,9.3,5.2,19,BOS,1,83,8.4,0.2,0.089,0,
Jordan Miller,LAC,24,8,3.5,-1.6,,,,,,,,,
Jalen Hood-Schifino,LAL,21,21,5.2,-2.6,20,LAL,0,109,-1.5,-0.5,-0.222,-0.4,
Jett Howard,ORL,20,18,3.7,0.2,20,ORL,0,67,8.6,0,0.005,0,
Jalen Pickett,DEN,24,27,4.5,0,,,,,,,,,
Seth Lundy,ATL,24,9,5.8,-1.4,,,,,,,,,
Dariq Whitehead,BKN,19,2,12,-11,19,BRK,0,24,4.9,0,-0.03,0,
Chris Livingston,MIL,20,21,4.3,-1.3,20,MIL,0,90,6.9,0.1,0.027,-0.1,
Keyontae Johnson,OKC,24,9,7.4,-0.8,,,,,,,,,
Hunter Tyson,DEN,24,18,2.7,0.4,,,,,,,,,
Jalen Slawson,SAC,24,12,3.1,-0.5,,,,,,,,,
Maxwell Lewis,LAL,21,34,3,-2.1,21,LAL,0,103,-3.9,-0.4,-0.195,-0.3,
