,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Victor Wembanyama,SAS,20,71,19,52,29.7,21.4,7.8,16.7,46.5,1.8,5.5,32.5,4.1,5.2,79.6,2.3,8.4,10.6,3.9,3.7,1.2,3.6,2.2,50.8,43,2,-2
2,Brandon Miller,CHA,21,74,18,56,32.2,17.3,6.4,14.6,44,2.5,6.7,37.3,1.9,2.3,82.7,0.8,3.4,4.3,2.4,1.8,0.9,0.6,2.5,28.5,1,0,-6.9
3,GG Jackson,MEM,19,48,14,34,25.7,14.6,5,11.7,42.8,2.1,6,35.7,2.4,3.2,75.2,1.1,3,4.1,1.2,1.4,0.6,0.5,1.3,23.2,2,0,-4
4,Scoot Henderson,POR,20,62,18,44,28.5,14,5,12.9,38.5,1.4,4.3,32.5,2.7,3.3,81.9,0.9,2.3,3.1,5.4,3.4,0.8,0.2,3.1,25.4,8,0,-8
5,Keyonte George,UTA,20,75,27,48,27,13,4.3,10.9,39.1,2,5.9,33.4,2.5,3,84.8,0.2,2.6,2.8,4.4,2.5,0.5,0.1,1.2,22.2,1,0,-5
6,Cam Whitmore,HOU,19,47,19,28,18.7,12.3,4.5,9.9,45.4,1.7,4.7,35.9,1.6,2.4,67.9,0.9,2.9,3.8,0.7,1,0.6,0.4,1.4,20,1,0,-0.6
7,Jaime Jaquez Jr.,MIA,23,75,44,31,28.2,11.9,4.5,9.3,48.9,0.9,2.7,32.2,1.9,2.3,81.1,1.1,2.7,3.8,2.6,1.5,1,0.3,2.2,22.7,1,0,1.4
8,Amen Thompson,HOU,21,62,30,32,22.4,9.5,3.9,7.2,53.6,0.1,0.9,13.8,1.7,2.5,68.4,2.4,4.2,6.6,2.6,1.5,1.3,0.6,2.3,25.6,13,1,0.7
9,Brandin Podziemski,GSW,21,74,41,33,26.6,9.2,3.7,8.1,45.4,1.2,3.2,38.5,0.7,1.1,63.3,1.6,4.2,5.8,3.7,1.2,0.8,0.2,1.6,23.5,7,0,3.6
10,Ausar Thompson,DET,21,63,10,53,25.1,8.8,3.7,7.6,48.3,0.3,1.8,18.6,1.1,1.9,59.7,2,4.3,6.4,1.9,1.3,1.1,0.9,2.8,24.1,2,0,-3.7
