Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Amari Bailey,19,CHO,PG,10,0,65,9.7,0.425,0.333,0.292,10.1,5.3,7.8,15.2,2.3,0,12.9,21.1,-0.1,0,-0.1,-0.044,-5.2,-3.1,-8.3,-0.1,
3,Jordan Walsh,19,BOS,SF,9,1,83,8.4,0.472,0.6,0.133,6.8,18.7,13,7.2,3,1.1,15.9,9.9,0,0.2,0.2,0.089,-5.6,1.8,-3.8,0,
4,Sidy Cissoko,19,SAS,SF,12,0,141,12,0.568,0.364,0.455,6.1,10.8,8.4,9.4,2.4,1.8,7,12.7,0.2,0.1,0.3,0.11,-4,1.4,-2.7,0,
5,Noah Clowney,19,BRK,PF,23,4,370,14.2,0.626,0.355,0.323,7.5,16.7,12,6.9,1.1,3.9,12.4,14.2,0.5,0.4,0.9,0.111,-0.8,0.1,-0.7,0.1,
6,Rayan Rupert,19,POR,SG,39,12,633,5.8,0.451,0.484,0.155,4,12.8,8.1,13.5,0.9,0.4,15.3,13.6,-0.4,0.3,-0.1,-0.009,-5.6,-1.2,-6.7,-0.8,
7,Nick Smith Jr.,19,CHO,SG,51,0,729,8.1,0.511,0.505,0.052,2.7,8.6,5.5,12,0.7,0.9,11.7,20.3,-0.6,0.1,-0.5,-0.036,-3.1,-2.8,-5.9,-0.7,
8,Cam Whitmore,19,HOU,SF,47,2,880,16.6,0.561,0.471,0.24,5.3,16.7,11,6,1.7,1.8,8.2,27.1,0.4,1.1,1.5,0.082,1,-0.9,0.1,0.5,
9,GG Jackson II,19,MEM,PF,48,18,1233,13.7,0.554,0.508,0.272,4.5,13.2,8.7,8,1.1,1.8,9.3,24.2,0.2,1.1,1.2,0.048,-0.2,-1.8,-2,0,
10,Dereck Lively II,19,DAL,C,55,42,1294,18.1,0.728,0.007,0.274,11.4,20.4,16,6.4,1.3,5.2,13.1,12.6,3.1,1.8,4.9,0.183,-0.3,0.8,0.5,0.8,ROY-6
11,Bilal Coulibaly,19,WAS,SF,63,15,1715,8.9,0.543,0.428,0.303,3.4,12.8,8,8.2,1.6,2.3,15.1,14.2,-0.5,0.9,0.4,0.013,-3.6,-0.5,-4.2,-0.9,
12,Scoot Henderson,19,POR,PG,62,32,1765,9.5,0.489,0.336,0.256,3.2,9.5,6.2,29.9,1.3,0.7,19.3,26.5,-2.5,0.9,-1.7,-0.045,-3.5,-2.3,-5.8,-1.7,
